song,album,prev,lyric,next,artist
We No Who U R,Push The Sky Away,,The tree don’t care what the little bird sings,We go down with the dew in the morning,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,The tree don’t care what the little bird sings,We go down with the dew in the morning,The trees don’t know what the little bird brings,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,We go down with the dew in the morning,The trees don’t know what the little bird brings,We go down with the dew in the morning,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,The trees don’t know what the little bird brings,We go down with the dew in the morning,And we breathe it in,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,We go down with the dew in the morning,And we breathe it in,There is no need to forgive,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,And we breathe it in,There is no need to forgive,The trees will stand like pleading hands,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,There is no need to forgive,The trees will stand like pleading hands,We go down with the dew in the morning,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,The trees will stand like pleading hands,We go down with the dew in the morning,The trees all stand like pleading hands,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,We go down with the dew in the morning,The trees all stand like pleading hands,We go down with the dew in the morning,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,The trees all stand like pleading hands,We go down with the dew in the morning,And we breathe it in,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,We go down with the dew in the morning,And we breathe it in,There is no need to forgive,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,And we breathe it in,There is no need to forgive,The trees will burn like blackened hands,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,There is no need to forgive,The trees will burn like blackened hands,And we return with the light of the evening,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,The trees will burn like blackened hands,And we return with the light of the evening,The trees will burn like blackened hands,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,And we return with the light of the evening,The trees will burn like blackened hands,"There’s nowhere to rest, there’s nowhere to land",Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,The trees will burn like blackened hands,"There’s nowhere to rest, there’s nowhere to land",And we know who you are,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,"There’s nowhere to rest, there’s nowhere to land",And we know who you are,And we know where you live,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,And we know who you are,And we know where you live,And we know there’s no need to forgive,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,And we know where you live,And we know there’s no need to forgive,And we know who you are,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,And we know there’s no need to forgive,And we know who you are,And we know where you live,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,And we know who you are,And we know where you live,And we know there’s no need to forgive,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,And we know where you live,And we know there’s no need to forgive,And we know who you are,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,And we know there’s no need to forgive,And we know who you are,And we know where you live,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,And we know who you are,And we know where you live,And we know there’s no need to forgive,Nick Cave & The Bad Seeds
We No Who U R,Push The Sky Away,And we know where you live,And we know there’s no need to forgive,,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,,You wave at the sky with wide lovely eyes,Waves and waves of love goodbye,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,You wave at the sky with wide lovely eyes,Waves and waves of love goodbye,Through the garden with your secret key,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,Waves and waves of love goodbye,Through the garden with your secret key,Down the tunnel that leads to the sea,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,Through the garden with your secret key,Down the tunnel that leads to the sea,Step onto the beach beneath the iron skies,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,Down the tunnel that leads to the sea,Step onto the beach beneath the iron skies,You wave and wave with your wide lovely eyes,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,Step onto the beach beneath the iron skies,You wave and wave with your wide lovely eyes,Crystal waves and waves of love,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,You wave and wave with your wide lovely eyes,Crystal waves and waves of love,You wave and say goodbye,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,Crystal waves and waves of love,You wave and say goodbye,Your dress sighs with your wide lovely strides,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,You wave and say goodbye,Your dress sighs with your wide lovely strides,All along the street and lately the stories abound,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,Your dress sighs with your wide lovely strides,All along the street and lately the stories abound,They’ve dismantled the fun fair and shut down the rides,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,All along the street and lately the stories abound,They’ve dismantled the fun fair and shut down the rides,And they’ve hung the mermaids from the street lights by their hair,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,They’ve dismantled the fun fair and shut down the rides,And they’ve hung the mermaids from the street lights by their hair,With wide lovely eyes you wave at the sky,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,And they’ve hung the mermaids from the street lights by their hair,With wide lovely eyes you wave at the sky,And me at the high window watching you ride,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,With wide lovely eyes you wave at the sky,And me at the high window watching you ride,The waves of blue and the waves of love,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,And me at the high window watching you ride,The waves of blue and the waves of love,You wave and say goodbye,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,The waves of blue and the waves of love,You wave and say goodbye,The night expands I am expanding,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,You wave and say goodbye,The night expands I am expanding,I watch your hands like butterflies landing,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,The night expands I am expanding,I watch your hands like butterflies landing,All among the myths and the legends we create,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,I watch your hands like butterflies landing,All among the myths and the legends we create,And all the laughing stories we tell our friends,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,All among the myths and the legends we create,And all the laughing stories we tell our friends,Close the windows clear up the mess it’s getting late,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,And all the laughing stories we tell our friends,Close the windows clear up the mess it’s getting late,It’s darker and closer to the end,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,Close the windows clear up the mess it’s getting late,It’s darker and closer to the end,And through the tunnel and down to the sea,Nick Cave & The Bad Seeds
Wide Lovely Eyes,Push The Sky Away,It’s darker and closer to the end,And through the tunnel and down to the sea,And on the pebble beach your laces you untie,Nick Cave & The Bad Seeds
